platform,title,user,views,category,focus,mood,sponsoredContent,rating,url,instaEmbed,tiktokEmbed
Youtube,"Summer Pickups | Our Legacy, Supreme, Fugazi and more!",Lukas Ludwig,3.1k,Lifestyle,Fashion,Calm,,,"Summer Pickups | Our Legacy, Supreme, Fugazi and more!",,
Youtube,This skate shoe is my Last Resort (but I love it),Rose Anvil,72k,Educational,Sports,Calm,,,https://www.youtube.com/watch?v=Sh8KLbPqyys&list=WL&index=54&t=874s,,
Youtube,The reality of living in a house with 7 entrepreneurs,Jai Howitt,127k,Lifestyle,Travel + Adventure,Funny/Lighthearted,,,https://www.youtube.com/watch?v=2EeN7laVZPQ&list=WL&index=60,,
Youtube,How to Make Clothes,Jacob Wallace,41k,Lifestyle,Fashion,Calm,,,https://www.youtube.com/watch?v=RRdBJwqXmbQ&list=WL&index=66,,
Youtube,How to DOUBLE your pull-ups in 30 days (Proven method),Yellow Dude | Gravgear,455k,Educational,Health + Wellness,Funny/Lighthearted,,,https://www.youtube.com/watch?v=yHuiTeCG4AM&list=WL&index=70&t=156s,,
Youtube,"Hunting A $300,000,000 Dark Web Drug Dealer",Thinker,1M,Educational,Music + Culture,Dramatic/Suspenseful,,,https://www.youtube.com/watch?v=BXf4kj36VQ4&list=WL&index=72,,
Youtube,"If you're ambitious but lazy, please watch this video...",Rise With Odn,5.2M,Educational,Health + Wellness,Calm,,,https://www.youtube.com/watch?v=TBxS0XhdfmU&list=WL&index=76,,
Youtube,"VACATION – A Surf Film ft. Eithan Osborne, Ian Crane, Shaun Manners, Jaleesa Vincent, and more",Stab: We like to surf,32k,Lifestyle,Sports,High Energy,,,https://www.youtube.com/watch?v=l55QZzwyv-g&list=WL&index=80,,
Youtube,Beginner Tries Massive Snowmobile Jump,Sickos,305k,Cinematic/Storytelling,Sports,High Energy,,,https://www.youtube.com/watch?v=8Ty4RaT8xx0&list=WL&index=83,,
Youtube,Mollusk Surf Shop Bonzer Days,Mollusk Surf Shop,37k,Lifestyle,Sports,Calm,,,https://www.youtube.com/watch?v=LoubLFOGKTM&list=WL&index=85,,
Youtube,Blind Dating 7 Girls Before & After Getting High,David Alvareeezy,1.8M,Trends/Viral,Music + Culture,Funny/Lighthearted,,,https://www.youtube.com/watch?v=Q9yH3_gFAV8&list=WL&index=87,,
Youtube,REVIVAL - A Rusty surf movie,RustyTv,127k,Lifestyle,Sports,Funny/Lighthearted,,,https://www.youtube.com/watch?v=pHjAx38tqxY&list=WL&index=89&t=2691s,,
Youtube,The 2025 MLB Season Can’t Get Much Dumber,Baseball Doesn't Exist,1.3M,Cinematic/Storytelling,Sports,Funny/Lighthearted,,,https://www.youtube.com/watch?v=XgTX-gYWR0c&list=WL&index=91&t=777s,,
Youtube,The Putter that Changed Golf Forever,Random Golf Club,657k,Cinematic/Storytelling,Sports,Calm,,,https://www.youtube.com/watch?v=iT9ENV9qVWY&list=WL&index=92&t=1304s,,
Youtube,"unemployed, 1500$ left, went to the junge",,464k,Cinematic/Storytelling,Sports,Calm,,,https://www.youtube.com/watch?v=q1ikFvyQJF4&list=WL&index=96,,
Youtube,The Hunt for America's Smartest Killer,fern,6.8M,Cinematic/Storytelling,Music + Culture,Dramatic/Suspenseful,,,https://www.youtube.com/watch?v=wkVygetgeRY&list=WL&index=98,,
Youtube,The Kids Who Hacked The CIA,fern,15M,Cinematic/Storytelling,Music + Culture,Dramatic/Suspenseful,,,https://www.youtube.com/watch?v=PmtFtWVrxFE&list=WL&index=99,,
Youtube,The Incredible O.J. Simpson Chase,neo,4.9M,Cinematic/Storytelling,Music + Culture,Dramatic/Suspenseful,,,https://www.youtube.com/watch?v=xo9p8p6deRI&list=WL&index=106,,
Youtube,25 strangers shoot their shot at love | part one,nectar,1.1M,Trends/Viral,Music + Culture,Funny/Lighthearted,,,https://www.youtube.com/watch?v=j0IGLkPz-FI&list=WL&index=113,,
Youtube,RAGE 5,Rage Team,76k,Cinematic/Storytelling,Sports,High Energy,,,https://www.youtube.com/watch?v=OutKDUkTVYI&list=WL&index=116&t=2038s,,
Youtube,Best Friends Choose His Perfect Match,Poppies Studios,1M,Trends/Viral,Music + Culture,High Energy,,,https://www.youtube.com/watch?v=K1z2lAPA_-Y&list=WL&index=119,,
Youtube,"milan vlog (shopping, vintage, local spots & exploring the city)",ojadorf,40k,Lifestyle,Fashion,Calm,,,https://www.youtube.com/watch?v=XCC8xU9552Q&list=WL&index=120&t=722s,,
Youtube,A week in my life: MONACO GP EDITION | DONTBLINK EP2 SEASON 6,Carlos Sainz,481k,Lifestyle,Sports,Funny/Lighthearted,,,https://www.youtube.com/watch?v=MWv29nvJi74&list=WL&index=123,,
Youtube,"Talking Watches With Ed Sheeran, Hosted By John Mayer",Hodinkee,440k,Cinematic/Storytelling,Fashion,Funny/Lighthearted,,,https://www.youtube.com/watch?v=-wnT3i1GckA&list=WL&index=124&t=113s,,
Youtube,9 Guys Choose Her Perfect Match,Poppies Studios,2.8M,Trends/Viral,Music + Culture,Funny/Lighthearted,,,https://www.youtube.com/watch?v=vqHnXOOt21c&list=WL&index=125,,
Youtube,i think they call it hiking,Mainstone,46k,Cinematic/Storytelling,Travel + Adventure,Calm,,,https://www.youtube.com/watch?v=RB3ks-FXYRw&list=WL&index=126&t=315s,,
Youtube,"June 2025, Week 1 | Sample Reviews & E-Comm",BARE KNUCKLES,7k,Lifestyle,Fashion,Calm,,,https://www.youtube.com/watch?v=_RQKFmfKXjQ&list=WL&index=128&t=344s,,
